"Adthyza","","","https://adthyza.com/","https://dbqkye4dg5cn7.cloudfront.net/wp-content/uploads/2023/08/Adthyza-Logo_Registered_CMYKWhite.svg","/hcp/media/pdf/Adthyza_PI.pdf, /hcp/media/pdf/Adthyza_PI_NEW_ADT_PI2.pdf, /hcp/media/pdf/Adthyza_PI.pdf, /hcp/media/pdf/Adthyza_PI_NEW_ADT_PI2.pdf, /hcp/media/pdf/Adthyza_PI.pdf, /hcp/media/pdf/Adthyza_PI.pdf, /hcp/media/pdf/Adthyza_PI.pdf, /hcp/media/pdf/Adthyza_PI.pdf, /hcp/media/pdf/Adthyza_PI_NEW_ADT_PI2.pdf"
"Artiss","","","https://advancedsurgery.baxter.com/artiss","https://advancedsurgery.baxter.com/artiss/sites/g/files/ebysai4111/files/2023-07/Artiss_Prima_Facelift_0-min.jpg","http://baxterpi.com/pi-pdf/Artiss_PI.pdf"
"Atorvaliq","","","https://atorvaliq.com/","https://atorvaliq.com/wp-content/uploads/2023/03/Atorvaliq-Logo_012723.svg","-"
"Balfaxar","","","https://balfaxar.com/","https://balfaxar.com///balfaxar.com/wp-content/uploads/2024/02/balfaxar-logo-white@2x.png","/wp-content/uploads/2023/07/Balfaxar_Prescribing_Information_072623.pdf, https://balfaxar.com/wp-content/uploads/2023/07/Balfaxar_Prescribing_Information_072623.pdf"
"Carospir","CMP Pharma","spironolactone","https://carospir.com/","https://carospir.com/wp-content/uploads/2021/10/cmp-carospir-logo.png","https://carospir.com/wp-content/uploads/2023/12/CaroSpir-HCP-Brochure.pdf, https://carospir.com/wp-content/uploads/2023/12/CaroSpir-Information-Sheet.pdf"
"Dhivy","","","https://dhivy.com/","https://dhivy.com//assets/img/dhivy-logo.d5bdf5f6.svg","-"
"Doptelet","Swedish Orphan Biovitrum AB (Sobi)","avatrombopag","https://doptelet.com/","https://www.facebook.com/tr?id=148103240528707&ev=PageView&noscript=1","/themes/pdf/prescribing-information.pdf, /themes/pdf/patient-brief-summary.pdf, https://www.doptelet.com/doptelet.pdf, /themes/pdf/patient-information-leaflet.pdf"
"Dyanavel Xr","Tris Pharma, Inc.","amphetamine","https://dyanavelxr.com","https://www.dyanavelxr.com/img/DXR-nav-icon-tablet-min.png","https://www.dyanavelxr.com/downloads/DYANAVEL_Delivered_Info_Sheet_DXR.2352.PR.pdf, https://www.trispharma.com/generic/Tris_ADHD_Portfolio_PIs_Med_Guides.pdf, https://www.trispharma.com/generic/Tris_ADHD_Portfolio_PIs_Med_Guides.pdf, https://www.trispharma.com/generic/DYANAVELXR_pi.pdf"
"Elfabrio","","","https://elfabrio.com/","https://elfabrio.com//_assets/img/elfabrio-logo.webp","https://resources.chiesiusa.com/Elfabrio/ELFABRIO_PI.pdf, https://resources.chiesiusa.com/Elfabrio/ELFABRIO_PI.pdf"
"Erwinaze","Jazz Pharmaceuticals","asparaginase Erwinia chrysanthemi","https://erwinaze.com","-","-"
